iter	Passed	Remaining
690	1175	525
691	1177	524
692	1178	522
693	1180	520
694	1182	518
695	1183	516
696	1184	515
697	1186	513
698	1189	512
699	1190	510
700	1192	508
701	1193	506
702	1195	505
703	1197	503
704	1198	501
705	1200	499
706	1202	498
707	1205	497
708	1208	495
709	1209	494
710	1211	492
711	1212	490
712	1214	488
713	1215	486
714	1217	485
715	1218	483
716	1220	481
717	1221	479
718	1222	477
719	1224	476
720	1225	474
721	1227	472
722	1230	471
723	1231	469
724	1233	467
725	1235	466
726	1237	464
727	1239	463
728	1241	461
729	1243	459
730	1248	459
731	1250	457
732	1252	456
733	1253	454
734	1255	452
735	1258	451
736	1260	449
737	1263	448
738	1270	448
739	1272	446
740	1273	445
741	1276	443
742	1280	442
743	1281	441
744	1283	439
745	1285	437
746	1289	436
747	1291	435
748	1298	435
749	1313	437
750	1315	436
751	1317	434
752	1319	432
753	1321	430
754	1324	429
755	1329	429
756	1331	427
757	1332	425
758	1335	423
759	1336	422
760	1338	420
761	1340	418
762	1341	416
763	1343	415
764	1345	413
765	1346	411
766	1348	409
767	1349	407
768	1351	406
769	1353	404
770	1355	402
771	1356	400
772	1358	398
773	1359	396
774	1361	395
775	1362	393
776	1364	391
777	1366	389
778	1369	388
779	1372	387
780	1373	385
781	1375	383
782	1377	381
783	1379	380
784	1380	378
785	1384	376
786	1386	375
787	1387	373
788	1389	371
789	1390	369
790	1392	367
791	1393	366
792	1395	364
793	1396	362
794	1397	360
795	1399	358
796	1401	356
797	1402	355
798	1403	353
799	1405	351
800	1406	349
801	1408	347
802	1409	345
803	1410	343
804	1412	342
805	1413	340
806	1415	338
807	1416	336
808	1417	334
809	1419	332
810	1420	331
811	1422	329
812	1424	327
813	1425	325
814	1427	324
815	1429	322
816	1430	320
817	1432	318
818	1433	316
819	1435	315
820	1436	313
821	1438	311
822	1439	309
823	1440	307
824	1442	306
825	1444	304
826	1445	302
827	1447	300
828	1448	298
829	1450	297
830	1451	295
831	1452	293
832	1454	291
833	1455	289
834	1457	287
835	1458	286
836	1459	284
837	1461	282
838	1462	280
839	1464	278
840	1466	277
841	1467	275
842	1469	273
843	1470	271
844	1471	269
845	1473	268
846	1474	266
847	1476	264
848	1477	262
849	1478	260
850	1480	259
851	1481	257
852	1483	255
853	1484	253
854	1486	252
855	1487	250
856	1489	248
857	1490	246
858	1492	244
859	1493	243
860	1495	241
861	1496	239
862	1497	237
863	1499	235
864	1501	234
865	1502	232
866	1504	230
867	1506	229
868	1508	227
869	1509	225
870	1511	223
871	1513	222
872	1516	220
873	1517	218
874	1519	217
875	1521	215
876	1522	213
877	1523	211
878	1524	209
879	1526	208
880	1527	206
881	1529	204
882	1531	202
883	1533	201
884	1535	199
885	1537	197
886	1538	196
887	1539	194
888	1541	192
889	1543	190
890	1545	189
891	1546	187
892	1548	185
893	1549	183
894	1551	181
895	1552	180
896	1554	178
897	1555	176
898	1557	174
899	1558	173
900	1560	171
901	1562	169
902	1564	168
903	1566	166
904	1567	164
905	1569	162
906	1570	161
907	1571	159
908	1573	157
909	1575	155
910	1577	154
911	1578	152
912	1580	150
913	1581	148
914	1582	147
915	1584	145
916	1585	143
917	1587	141
918	1588	140
919	1590	138
920	1592	136
921	1593	134
922	1594	133
923	1596	131
924	1597	129
925	1598	127
926	1600	126
927	1601	124
928	1603	122
929	1604	120
930	1606	119
931	1608	117
932	1609	115
933	1611	113
934	1612	112
935	1613	110
936	1615	108
937	1616	106
938	1618	105
939	1620	103
940	1621	101
941	1623	99
942	1624	98
943	1626	96
944	1627	94
945	1629	92
946	1630	91
947	1631	89
948	1633	87
949	1635	86
950	1636	84
951	1637	82
952	1639	80
953	1640	79
954	1642	77
955	1643	75
956	1645	73
957	1646	72
958	1648	70
959	1650	68
960	1651	67
961	1653	65
962	1655	63
963	1656	61
964	1657	60
965	1659	58
966	1660	56
967	1661	54
968	1663	53
969	1665	51
